,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2014/8,,2014/11,,2015/02,,2015/05,,2015/08,,2015/11,,2016/5,,2016/8,,,Basic,Technologist,,Developer,,Sales,,,Consultant,,,Architect,,,Project Manager,,,Target,,
No,カテゴリ,,,,,目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,セルフチェック,次回目標,Level,Basic,Basiｃ,Senior,Basiｃ,Senior,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Basic,Senior,Principal,Principal,,チェック用リスト
,,,分解した内容のゴールと全体のゴールの整合性を確認することができる,,,4,3,4,2,3,2,3,2,3,3,4,3,4,3,4,3,4,Advanced,,,,,,,,,,○,○,,,,,,,,,
,,,ストーリーの具象化を行うことができる,,,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,Advanced,,,,,,,,,,○,○,,,,,,,,,
,,ミーティングのファシリティーションができる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,○,○,○,×,×,×,×,,,,,
,,,組み立てられた内容を説明できる,,,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Basic,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,自分で論理的な組み立てができる,,,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,Intermediate,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,異なる意見を一つの方向性にまとめていくことができる,,,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,Advanced,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,想定のストーリーと異なった場合の対応ができる,,,,,,,,,,,,,,,,,,,,Advanced,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,,ゴールの再設定,,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,,作業優先順位の調整,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,,作業内容の調整,,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,,スケジュールの調整,,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,,顧客との合意に向けた戦略をたてることができる,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,Intermediate,×,×,×,×,×,×,×,,×,○,○,×,×,×,×,,,,,
,,ミーティング内容を把握できる,,,,,,,,,,,,,,,,,,,,,,×,×,×,×,×,×,×,,×,×,×,×,×,×,×,,,,,
,,,「決定内容」と「検討事項」が明確な議事録を作成することができる,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Basic,×,×,×,×,×,×,×,,○,○,○,×,×,×,×,,,,,
